1,3.02,5,6000.0,7999.0,6999.5,,,
2,3.36,79,4000.0,4999.0,4499.5,1000.0,1999.0,1499.5
3,3.59,16,10000.0,14999.0,12499.5,,,
4,3.09,21,5000.0,5999.0,5499.5,1000.0,1999.0,1499.5
5,3.48,49,5000.0,5999.0,5499.5,,,
6,3.32,66,3000.0,3999.0,3499.5,1000.0,1999.0,1499.5
7,3.3,160,5000.0,5999.0,5499.5,2000.0,2999.0,2499.5
8,3.15,27,3000.0,3999.0,3499.5,,,
9,3.52,99,6000.0,7999.0,6999.5,,,
10,3.47,336,5000.0,5999.0,5499.5,,,
11,3.26,48,3000.0,3999.0,3499.5,1000.0,1999.0,1499.5
12,0.0,0,10000.0,14999.0,12499.5,,,
13,3.22,50,3000.0,3999.0,3499.5,,,
14,3.09,28,3000.0,3999.0,3499.5,2000.0,2999.0,2499.5
15,3.49,420,3000.0,3999.0,3499.5,1000.0,1999.0,1499.5
16,3.54,38,2000.0,2999.0,2499.5,,,
17,3.55,21,4000.0,4999.0,4499.5,,,
18,3.06,9,20000.0,29999.0,24999.5,10000.0,14999.0,12499.5
19,3.37,88,4000.0,4999.0,4499.5,1000.0,1999.0,1499.5
20,3.31,51,10000.0,14999.0,12499.5,,,
21,3.44,223,5000.0,5999.0,5499.5,3000.0,3999.0,3499.5
22,3.02,5,15000.0,19999.0,17499.5,4000.0,4999.0,4499.5
23,0.0,1,3000.0,3999.0,3499.5,,,
24,3.61,17,20000.0,29999.0,24999.5,,,
25,0.0,4,6000.0,7999.0,6999.5,,,
26,3.12,20,6000.0,7999.0,6999.5,6000.0,7999.0,6999.5
27,3.07,12,2000.0,2999.0,2499.5,,,
28,3.09,16,2000.0,2999.0,2499.5,1000.0,1999.0,1499.5
29,3.12,24,3000.0,3999.0,3499.5,,,
30,3.9,197,20000.0,29999.0,24999.5,10000.0,14999.0,12499.5
31,3.09,13,5000.0,5999.0,5499.5,,,
32,3.01,2,3000.0,3999.0,3499.5,,,
33,3.03,26,4000.0,4999.0,4499.5,,,
34,3.03,1,3000.0,3999.0,3499.5,,,
35,3.04,4,3000.0,3999.0,3499.5,,,
36,3.26,37,4000.0,4999.0,4499.5,,,
37,3.02,0,2000.0,2999.0,2499.5,1000.0,1999.0,1499.5
38,3.01,2,2000.0,2999.0,2499.5,,,
39,3.09,21,3000.0,3999.0,3499.5,,,
40,3.04,11,4000.0,4999.0,4499.5,,,
41,3.01,10,1000.0,1999.0,1499.5,1000.0,1999.0,1499.5
42,3.03,6,3000.0,3999.0,3499.5,,,
43,3.36,93,5000.0,5999.0,5499.5,1000.0,1999.0,1499.5
44,3.05,7,6000.0,7999.0,6999.5,,,
45,3.06,11,6000.0,7999.0,6999.5,,,
46,3.02,5,4000.0,4999.0,4499.5,1000.0,1999.0,1499.5
47,3.0,5,6000.0,7999.0,6999.5,3000.0,3999.0,3499.5
48,3.31,76,3000.0,3999.0,3499.5,,,
49,3.0,2,20000.0,29999.0,24999.5,10000.0,14999.0,12499.5
50,3.06,8,4000.0,4999.0,4499.5,2000.0,2999.0,2499.5
51,3.21,56,5000.0,5999.0,5499.5,2000.0,2999.0,2499.5
52,3.07,48,4000.0,4999.0,4499.5,,,
53,3.05,12,4000.0,4999.0,4499.5,,,
54,3.08,13,3000.0,3999.0,3499.5,2000.0,2999.0,2499.5
55,3.18,25,4000.0,4999.0,4499.5,2000.0,2999.0,2499.5
56,3.54,30,8000.0,9999.0,8999.5,3000.0,3999.0,3499.5
57,3.01,13,3000.0,3999.0,3499.5,3000.0,3999.0,3499.5
58,3.01,4,2000.0,2999.0,2499.5,,,
59,3.09,44,3000.0,3999.0,3499.5,,,
60,3.03,16,2000.0,2999.0,2499.5,,,
